While My Guitar Gently Weeps	The Beatles (White Album)-1	7	285	1968
Why Don't We Do It In The Road?	The Beatles (White Album)-1	15	101	1968
Wild Honey Pie	The Beatles (White Album)-1	5	53	1968
Within You Without You	Sgt. Pepper's Lonely Hearts Club Band	8	304	1967
Words Of Love	Beatles For Sale	9	124	1964
Yellow Submarine	Revolver	6	158	1966
Yellow Submarine	Yellow Submarine	1	159	1969
Yellow Submarine In Pepperland	Yellow Submarine	13	134	1969
Yer Blues	The Beatles (White Album)-2	2	240	1968
Yesterday	Help!	13	125	1965
You Can't Do That	A Hard Day's Night	12	154	1964
You Like Me Too Much	Help!	10	156	1965
You Never Give Me Your Money	Abbey Road	9	243	1969
You Really Got A Hold On Me	With The Beatles	10	181	1963
You Won't See Me	Rubber Soul	3	200	1965
Your Mother Should Know	Magical Mystery Tour	5	148	1967
You're Going To Lose That Girl	Help!	6	138	1965
You've Got To Hide Your Love Away	Help!	3	129	1965
